# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ahl2_airport
# Exported by: Reverend Jesse V92
setting:	replacespawns 1
ttt_playerspawn	-184.829041 -210.456192 0.552516	0.071 0.108 0.221
ttt_playerspawn	233.532410 -411.602448 0.566752	0.024 0.094 0.129
ttt_playerspawn	233.040955 -356.066833 0.542716	0.055 0.000 0.055
ttt_playerspawn	230.439880 -302.636810 0.594724	-0.003 1.512 -0.019
ttt_playerspawn	189.748581 -284.831451 0.577227	0.109 -0.731 -0.181
ttt_playerspawn	167.210922 -233.307678 0.532400	-0.065 -0.000 0.065
ttt_playerspawn	212.170364 -231.524841 0.576045	-0.023 -0.000 0.023
ttt_playerspawn	181.055984 -185.294037 0.541854	-0.056 -0.000 0.056
ttt_playerspawn	136.254501 -182.294876 0.559126	-0.184 -0.127 -0.055
ttt_playerspawn	93.251450 -180.592010 0.555790	-0.008 0.017 0.139
ttt_playerspawn	48.411095 -179.134262 0.530929	-0.020 0.049 0.239
ttt_playerspawn	3.223040 -177.412384 0.582842	-0.081 0.069 0.027
ttt_playerspawn	-35.400604 -176.383713 0.587766	0.099 -0.167 -0.061
ttt_playerspawn	-73.254013 -175.508453 0.580882	0.064 -0.009 -0.007
ttt_playerspawn	-113.610832 -173.911331 0.564426	-0.037 -0.121 0.050
ttt_playerspawn	-151.890823 -172.844635 0.558124	-0.159 -0.282 -0.027
ttt_playerspawn	-190.166672 -171.604141 0.574000	0.083 0.165 -0.001
ttt_playerspawn	-234.220123 -218.022263 0.559289	0.023 0.122 0.151
ttt_playerspawn	-291.786682 -279.272217 0.533411	-0.064 -0.000 0.064
ttt_playerspawn	-290.336731 -210.081161 0.576401	-0.022 -0.000 0.023
ttt_playerspawn	-288.964630 -167.789261 0.523728	-0.073 0.000 -0.073
ttt_playerspawn	-247.559845 -154.621613 0.528619	-0.245 0.066 -0.018
item_ammo_357_ttt	595.189880 1605.505005 179.139954	0.446 0.055 0.041
item_ammo_357_ttt	578.422791 1623.534790 179.139954	0.446 0.055 0.041
item_ammo_357_ttt	565.063782 1636.940063 179.115051	0.670 -0.059 -0.046
item_ammo_357_ttt	-176.829727 2082.243408 400.315948	0.504 -0.042 0.000
item_ammo_357_ttt	-180.413589 2097.206299 400.319366	0.447 0.072 0.061
item_ammo_357_ttt	-176.946259 2126.323242 400.337494	0.503 -0.022 0.005
item_ammo_pistol_ttt	200.689972 240.413803 32.421444	0.619 0.201 -0.238
item_ammo_pistol_ttt	217.672577 240.424728 32.440639	0.561 -0.216 0.085
item_ammo_pistol_ttt	240.754913 240.385620 32.436684	1.084 0.094 -0.053
item_ammo_pistol_ttt	376.083099 243.034210 32.358608	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	388.933014 243.287735 32.360706	-0.121 -0.019 -0.037
item_ammo_pistol_ttt	551.025635 -96.846481 33.423187	0.815 -1.774 0.232
item_ammo_pistol_ttt	560.740540 -98.518738 33.364815	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	-153.216324 239.953812 32.476501	-0.772 0.399 -0.241
item_ammo_pistol_ttt	-161.255203 238.592041 32.402687	-0.084 -0.020 -0.025
item_ammo_pistol_ttt	-143.253296 235.068741 32.444523	-0.443 0.137 -0.488
item_ammo_pistol_ttt	-13.368312 882.062439 193.354294	0.126 0.019 -0.038
item_ammo_pistol_ttt	3.807115 883.486877 193.345306	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	16.822075 883.799500 193.340591	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	-65.003822 901.750427 193.411118	0.017 0.031 0.002
item_ammo_pistol_ttt	54.958500 890.477966 193.373276	-0.141 0.048 0.007
item_ammo_pistol_ttt	997.735168 1900.119751 196.991928	-0.108 -0.021 -0.019
item_ammo_pistol_ttt	-1008.213867 2366.920898 198.895554	0.129 0.022 -0.038
item_ammo_pistol_ttt	-984.576172 2352.136963 198.957550	0.154 0.013 -0.041
item_ammo_pistol_ttt	-595.839844 2510.283203 179.210846	-0.492 0.052 -0.384
item_ammo_pistol_ttt	-623.031250 2510.270020 179.224380	-0.797 0.060 -0.546
weapon_zm_molotov	401.444458 -226.958328 33.171055	-2.152 -1.401 -1.177
weapon_zm_molotov	-379.945801 339.651520 32.168346	-2.252 -1.362 -1.231
weapon_zm_molotov	-378.636749 328.068665 32.191807	-1.392 -1.488 -0.761
weapon_zm_molotov	-384.777496 322.679260 33.785084	-47.673 40.790 -87.075
weapon_zm_molotov	960.922302 2360.425781 196.789352	-0.752 -1.810 -0.876
weapon_zm_molotov	-0.264095 127.406937 0.158564	-2.313 -1.299 -1.665
weapon_ttt_confgrenade	502.679932 -219.320877 35.144302	-36.489 -55.999 -91.151
weapon_ttt_confgrenade	-382.264679 308.282135 34.082119	-35.539 -56.913 -89.695
weapon_ttt_confgrenade	-381.034790 301.847839 34.110001	-35.965 -56.517 -90.340
weapon_ttt_confgrenade	1006.455444 1893.710815 198.728485	-35.984 -55.734 -90.262
weapon_ttt_confgrenade	-462.628357 -229.177963 35.133419	-36.323 -56.167 -90.892
item_ammo_revolver_ttt	549.757629 -165.241882 33.358746	0.455 0.059 0.045
item_ammo_revolver_ttt	557.052002 -154.832565 33.357044	0.455 0.059 0.045
item_ammo_revolver_ttt	-982.603149 1884.808105 198.911682	0.427 0.056 0.038
item_ammo_revolver_ttt	-1007.823792 1896.036621 198.917328	0.429 0.056 0.036
item_ammo_revolver_ttt	-561.275391 -114.962997 33.362064	0.456 0.058 0.043
item_ammo_revolver_ttt	-555.058105 -93.825142 33.348160	0.453 0.061 0.049
weapon_zm_shotgun	-385.397949 242.525665 33.377922	-1.653 -8.278 -86.901
weapon_zm_shotgun	253.338806 886.119690 14.327745	9.359 -0.724 -2.855
weapon_zm_shotgun	162.401657 2081.138916 400.958282	-0.361 -8.921 -82.836
weapon_zm_sledge	295.507233 238.652710 29.808449	18.634 -0.366 2.992
weapon_zm_sledge	-0.458642 1092.066895 190.734543	18.179 -0.372 2.761
weapon_zm_sledge	-0.603088 2280.479492 157.808456	18.634 -0.309 2.992
weapon_zm_sledge	3.395653 1057.664307 -4.191552	18.634 -0.335 2.992
weapon_zm_revolver	540.073853 -180.722229 33.851212	2.222 -18.469 -84.100
weapon_zm_revolver	-999.558105 1888.436157 199.539230	1.877 -20.613 -86.009
weapon_zm_revolver	-563.874390 -133.172623 33.845654	2.220 -18.437 -84.044
weapon_ttt_glock	355.560181 242.866318 33.109093	-0.585 25.636 91.119
weapon_ttt_glock	29.440248 893.478821 194.112930	-0.816 25.596 91.596
weapon_ttt_glock	-47.668861 897.741028 194.114883	-0.919 25.555 91.812
weapon_ttt_glock	995.231750 1885.743896 197.732239	-0.045 25.916 90.969
weapon_ttt_glock	-1001.760620 2360.584473 199.680145	-0.779 25.640 91.423
weapon_zm_pistol	550.095581 -118.248817 33.978615	0.080 -37.481 -90.028
